Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-01-22 21:00","36745","36676","36399",
"2025-01-22 21:05","36585","36598","36399",
"2025-01-22 21:10","36800","36474","36399",
"2025-01-22 21:15","36590","36305","35799",
"2025-01-22 21:20","36399","36106","35799",
"2025-01-22 21:25","36123","35894","35799",
"2025-01-22 21:30","35911","35668","35289",
"2025-01-22 21:35","35523","35427","35289",
"2025-01-22 21:40","35407","35173","35289",
"2025-01-22 21:45","34885","34904","34299",
"2025-01-22 21:50","34587","34619","34299",
"2025-01-22 21:55","34433","34318","34299",
"2025-01-22 22:00","33948","34001","33297",
"2025-01-22 22:05","33410","33679","33297",
"2025-01-22 22:10","33089","33364","33297",
"2025-01-22 22:15","32786","33056","32297",
"2025-01-22 22:20","32521","32751","32297",
"2025-01-22 22:25","32076","32445","32297",
"2025-01-22 22:30","31899","32137","31297",
"2025-01-22 22:35","31721","31831","31297",
"2025-01-22 22:40","31715","31530","31297",
"2025-01-22 22:45","31479","31232","30347",
"2025-01-22 22:50","31080","30940","30347",
"2025-01-22 22:55","30825","30655","30347",
"2025-01-22 23:00","30594","30379","29800",
"2025-01-22 23:05","30245","30108","29800",
"2025-01-22 23:10","29875","29841","29800",
"2025-01-22 23:15","29807","29577","29600",
"2025-01-22 23:20","29458","29321","29600",
"2025-01-22 23:25","29188","29076","29600",
"2025-01-22 23:30","28736","28843","28490",
"2025-01-22 23:35","28557","28623","28490",
"2025-01-22 23:40","28275","28416","28490",
"2025-01-22 23:45","27930","28221","27590",
"2025-01-22 23:50","27580","28029","27590",
"2025-01-22 23:55","27310","27827","27590",
"2025-01-23 00:00","27243","27616","27007",
"2025-01-23 00:05","27468","27408","27007",
"2025-01-23 00:10","27021","27215","27007",
"2025-01-23 00:15","27199","27038","26707",
"2025-01-23 00:20","27152","26868","26707",
"2025-01-23 00:25","26735","26697","26707",
"2025-01-23 00:30","26541","26527","26108",
"2025-01-23 00:35","26296","26357","26108",
"2025-01-23 00:40","26348","26189","26108",
"2025-01-23 00:45","26074","26022","25808",
"2025-01-23 00:50","25920","25862","25808",
"2025-01-23 00:55","25611","25715","25808",
"2025-01-23 01:00","25615","25579","25500",
"2025-01-23 01:05","25411","25447","25500",
"2025-01-23 01:10","25431","25310","25500",
"2025-01-23 01:15","25239","25169","25110",
