Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-01-23 01:20","24923","25028","25110",
"2025-01-23 01:25","24835","24892","25110",
"2025-01-23 01:30","24863","24763","24810",
"2025-01-23 01:35","24787","24641","24810",
"2025-01-23 01:40","24713","24529","24810",
"2025-01-23 01:45","24567","24428","24380",
"2025-01-23 01:50","24316","24323","24380",
"2025-01-23 01:55","24234","24202","24380",
"2025-01-23 02:00","24260","24064","24009",
"2025-01-23 02:05","24167","23931","24009",
"2025-01-23 02:10","23873","23826","24009",
"2025-01-23 02:15","23656","23749","23609",
"2025-01-23 02:20","23676","23684","23609",
"2025-01-23 02:25","23493","23619","23609",
"2025-01-23 02:30","23428","23553","23409",
"2025-01-23 02:35","23421","23491","23409",
"2025-01-23 02:40","23398","23436","23409",
"2025-01-23 02:45","23203","23390","23409",
"2025-01-23 02:50","23224","23347","23409",
"2025-01-23 02:55","23306","23300","23409",
"2025-01-23 03:00","23174","23249","23207",
"2025-01-23 03:05","23257","23203","23207",
"2025-01-23 03:10","23334","23167","23207",
"2025-01-23 03:15","23159","23142","23207",
"2025-01-23 03:20","23271","23121","23207",
"2025-01-23 03:25","23171","23099","23207",
"2025-01-23 03:30","23282","23074","23007",
"2025-01-23 03:35","23275","23055","23007",
"2025-01-23 03:40","23206","23051","23007",
"2025-01-23 03:45","22980","23060","23107",
"2025-01-23 03:50","23029","23057","23107",
"2025-01-23 03:55","22847","23018","23107",
"2025-01-23 04:00","23081","22942","23001",
"2025-01-23 04:05","23047","22868","23001",
"2025-01-23 04:10","22877","22837","23001",
"2025-01-23 04:15","22981","22849","23001",
"2025-01-23 04:20","22858","22877","23001",
"2025-01-23 04:25","22935","22892","23001",
"2025-01-23 04:30","22934","22896","23001",
"2025-01-23 04:35","22914","22906","23001",
"2025-01-23 04:40","22890","22939","23001",
"2025-01-23 04:45","22980","22995","23001",
"2025-01-23 04:50","23293","23043","23001",
"2025-01-23 04:55","23213","23050","23001",
"2025-01-23 05:00","23113","23017","23307",
"2025-01-23 05:05","23509","22997","23307",
"2025-01-23 05:10","23479","23044","23307",
"2025-01-23 05:15","23362","23160","23707",
"2025-01-23 05:20","23479","23310","23707",
"2025-01-23 05:25","23678","23462","23707",
"2025-01-23 05:30","23654","23617","24207",
"2025-01-23 05:35","23813","23790","24207",
"2025-01-23 05:40","23950","23999","24207",
"2025-01-23 05:45","23930","24243","24307",
"2025-01-23 05:50","24257","24489","24307",
"2025-01-23 05:55","24232","24702","24307",
"2025-01-23 06:00","24571","24883","25622",
"2025-01-23 06:05","25008","25079","25622",
"2025-01-23 06:10","25504","25336","25622",
"2025-01-23 06:15","25926","25653","26322",
"2025-01-23 06:20","26206","26007","26322",
"2025-01-23 06:25","26145","26370","26322",
"2025-01-23 06:30","26571","26742","27222",
"2025-01-23 06:35","26763","27110","27222",
"2025-01-23 06:40","27061","27460","27222",
"2025-01-23 06:45","27466","27792","27902",
"2025-01-23 06:50","27801","28165","27902",
"2025-01-23 06:55","28006","28639","27902",
"2025-01-23 07:00","28553","29214","29487",
"2025-01-23 07:05","29434","29782","29487",
"2025-01-23 07:10","29991","30236","29487",
"2025-01-23 07:15","30148","30575","30797",
"2025-01-23 07:20","30455","30861","30797",
"2025-01-23 07:25","30859","31157","30797",
"2025-01-23 07:30","31097","31462","31927",
"2025-01-23 07:35","31467","31761","31927",
"2025-01-23 07:40","31759","32037","31927",
"2025-01-23 07:45","31952","32291","32508",
"2025-01-23 07:50","32358","32518","32508",
"2025-01-23 07:55","32662","32716","32508",
"2025-01-23 08:00","32886","32883","33498",
"2025-01-23 08:05","33249","33035","33498",
"2025-01-23 08:10","33484","33186","33498",
"2025-01-23 08:15","33587","33337","33799",
"2025-01-23 08:20","33655","33474","33799",
"2025-01-23 08:25","33763","33587","33799",
"2025-01-23 08:30","33661","33675","33799",
"2025-01-23 08:35","33736","33742","33799",
"2025-01-23 08:40","33625","33788","33799",
"2025-01-23 08:45","33601","33813","33799",
"2025-01-23 08:50","33620","33833","33799",
"2025-01-23 08:55","33505","33862","33799",
"2025-01-23 09:00","33448","33898","33997",
"2025-01-23 09:05","33540","33926","33997",
"2025-01-23 09:10","33756","33932","33997",
"2025-01-23 09:15","33673","33915","33497",
"2025-01-23 09:20","33642","33886","33497",
"2025-01-23 09:25","33826","33856","33497",
"2025-01-23 09:30","33800","33825","33797",
"2025-01-23 09:35","33719","33794","33797",
"2025-01-23 09:40","33720","33764","33797",
"2025-01-23 09:45","33752","33735","33973",
"2025-01-23 09:50","33838","33694","33973",
"2025-01-23 09:55","33633","33629","33973",
"2025-01-23 10:00","33483","33541","33419",
"2025-01-23 10:05","33410","33452","33419",
"2025-01-23 10:10","33452","33384","33419",
"2025-01-23 10:15","33325","33337","33259",
"2025-01-23 10:20","33300","33295","33259",
"2025-01-23 10:25","33105","33239","33259",
"2025-01-23 10:30","32988","33170","33059",
"2025-01-23 10:35","33090","33097","33059",
"2025-01-23 10:40","32880","33028","33059",
"2025-01-23 10:45","32784","32962","32839",
"2025-01-23 10:50","32937","32889","32839",
"2025-01-23 10:55","32595","32799","32839",
"2025-01-23 11:00","32617","32691","32516",
"2025-01-23 11:05","32612","32584","32516",
"2025-01-23 11:10","32373","32498","32516",
"2025-01-23 11:15","32083","32434","32196",
"2025-01-23 11:20","32078","32375","32196",
"2025-01-23 11:25","32016","32308","32196",
"2025-01-23 11:30","32106","32232","31796",
"2025-01-23 11:35","31982","32163","31796",
"2025-01-23 11:40","31992","32115","31796",
"2025-01-23 11:45","31771","32089","31796",
"2025-01-23 11:50","31995","32044","31796",
"2025-01-23 11:55","31717","31939","31796",
"2025-01-23 12:00","31598","31775","31391",
"2025-01-23 12:05","31802","31617","31391",
"2025-01-23 12:10","31740","31533","31391",
"2025-01-23 12:15","31455","31522","31541",
"2025-01-23 12:20","31452","31542","31541",
"2025-01-23 12:25","31456","31552","31541",
"2025-01-23 12:30","31496","31552","31791",
"2025-01-23 12:35","31671","31547","31791",
"2025-01-23 12:40","31566","31543","31791",
"2025-01-23 12:45","31721","31541","31791",
"2025-01-23 12:50","31642","31552","31791",
"2025-01-23 12:55","31655","31591","31791",
"2025-01-23 13:00","31654","31657","31794",
"2025-01-23 13:05","31506","31722","31794",
"2025-01-23 13:10","31463","31755","31794",
"2025-01-23 13:15","31333","31757","31794",
"2025-01-23 13:20","31399","31745","31794",
"2025-01-23 13:25","31466","31735","31794",
"2025-01-23 13:30","31550","31728","31276",
"2025-01-23 13:35","31413","31723","31276",
"2025-01-23 13:40","31402","31719","31276",
"2025-01-23 13:45","31186","31718","31314",
"2025-01-23 13:50","30925","31705","31314",
"2025-01-23 13:55","30771","31665","31314",
"2025-01-23 14:00","30732","31600","31311",
"2025-01-23 14:05","30579","31534","31311",
"2025-01-23 14:10","30660","31495","31311",
"2025-01-23 14:15","30815","31483","30691",
"2025-01-23 14:20","30904","31476","30691",
"2025-01-23 14:25","30910","31456","30691",
"2025-01-23 14:30","30789","31421","30691",
"2025-01-23 14:35","30789","31392","30691",
"2025-01-23 14:40","30863","31390","30691",
"2025-01-23 14:45","30772","31414","30691",
"2025-01-23 14:50","30732","31406","30691",
"2025-01-23 14:55","30540","31307","30691",
"2025-01-23 15:00","30374","31117","30589",
"2025-01-23 15:05","30284","30929","30589",
"2025-01-23 15:10","30200","30832","30589",
"2025-01-23 15:15","30272","30827","30599",
"2025-01-23 15:20","30514","30855","30599",
"2025-01-23 15:25","30499","30854","30599",
"2025-01-23 15:30","30553","30826","30299",
"2025-01-23 15:35","30540","30802","30299",
"2025-01-23 15:40","30341","30817","30299",
"2025-01-23 15:45","30270","30871","30449",
"2025-01-23 15:50","30479","30892","30449",
"2025-01-23 15:55","30424","30808","30449",
"2025-01-23 16:00","30649","30619","30246",
"2025-01-23 16:05","30556","30434","30246",
"2025-01-23 16:10","30577","30358","30246",
"2025-01-23 16:15","30464","30393","30501",
"2025-01-23 16:20","30585","30472","30501",
"2025-01-23 16:25","30336","30528","30501",
"2025-01-23 16:30","30435","30561","30608",
"2025-01-23 16:35","30626","30592","30608",
"2025-01-23 16:40","30759","30643","30608",
"2025-01-23 16:45","30780","30714","30726",
"2025-01-23 16:50","30742","30786","30726",
"2025-01-23 16:55","30676","30843","30726",
"2025-01-23 17:00","30880","30883","30971",
"2025-01-23 17:05","31081","30929","30971",
"2025-01-23 17:10","31195","31002","30971",
"2025-01-23 17:15","31060","31104","31391",
"2025-01-23 17:20","31230","31221","31391",
"2025-01-23 17:25","31414","31341","31391",
"2025-01-23 17:30","31463","31464","31641",
"2025-01-23 17:35","31823","31586","31641",
"2025-01-23 17:40","31923","31702","31641",
"2025-01-23 17:45","31919","31813","32041",
"2025-01-23 17:50","31879","31942","32041",
"2025-01-23 17:55","32151","32115","32041",
"2025-01-23 18:00","32157","32332","32626",
"2025-01-23 18:05","32224","32551","32626",
"2025-01-23 18:10","32480","32734","32626",
"2025-01-23 18:15","32735","32880","32796",
"2025-01-23 18:20","32882","33011","32796",
"2025-01-23 18:25","33231","33150","32796",
"2025-01-23 18:30","33562","33296","33496",
"2025-01-23 18:35","33689","33439","33496",
"2025-01-23 18:40","33795","33569","33496",
"2025-01-23 18:45","34257","33685","34196",
"2025-01-23 18:50","34512","33807","34196",
"2025-01-23 18:55","34364","33955","34196",
"2025-01-23 19:00","34366","34128","34699",
"2025-01-23 19:05","34717","34298","34699",
"2025-01-23 19:10","34782","34437","34699",
"2025-01-23 19:15","34876","34545","34799",
"2025-01-23 19:20","34841","34642","34799",
"2025-01-23 19:25","34851","34748","34799",
"2025-01-23 19:30","35021","34864","35249",
"2025-01-23 19:35","35119","34971","35249",
"2025-01-23 19:40","35308","35050","35249",
"2025-01-23 19:45","35499","35101","35499",
"2025-01-23 19:50","35464","35173","35499",
"2025-01-23 19:55","35609","35315","35499",
"2025-01-23 20:00","35723","35526","35772",
"2025-01-23 20:05","35779","35727","35772",
"2025-01-23 20:10","35810","35841","35772",
"2025-01-23 20:15","35738","35868","35886",
"2025-01-23 20:20","35913","35858","35886",
"2025-01-23 20:25","36003","35865","35886",
"2025-01-23 20:30","36036","35887","36156",
"2025-01-23 20:35","36206","35892","36156",
"2025-01-23 20:40","36317","35848","36156",
"2025-01-23 20:45","36197","35754","35788",
"2025-01-23 20:50","36152","35682","35788",
"2025-01-23 20:55","36219","35701","35788",
"2025-01-23 21:00","36009","35812","35752",
"2025-01-23 21:05","35938","35903","35752",
"2025-01-23 21:10","35888","35862","35752",
"2025-01-23 21:15","35618","35689","35252",
"2025-01-23 21:20","35678","35454","35252",
"2025-01-23 21:25","35493","35228","35252",
"2025-01-23 21:30","35346","35012","34492",
"2025-01-23 21:35","35027","34784","34492",
"2025-01-23 21:40","34870","34526","34492",
"2025-01-23 21:45","34364","34238","33595",
"2025-01-23 21:50","33997","33944","33595",
"2025-01-23 21:55","33442","33668","33595",
"2025-01-23 22:00","33473","33411","32696",
"2025-01-23 22:05","33116","33151","32696",
"2025-01-23 22:10","32563","32866","32696",
"2025-01-23 22:15","32422","32556","31626",
"2025-01-23 22:20","32136","32237","31626",
"2025-01-23 22:25","31906","31925","31626",
"2025-01-23 22:30","31928","31619","31079",
"2025-01-23 22:35","31592","31321","31079",
"2025-01-23 22:40","31062","31032","31079",
"2025-01-23 22:45","30885","30752","30303",
"2025-01-23 22:50","30637","30469","30303",
"2025-01-23 22:55","30440","30171","30303",
"2025-01-23 23:00","30296","29860","29303",
"2025-01-23 23:05","29751","29556","29303",
"2025-01-23 23:10","29598","29282","29303",
"2025-01-23 23:15","29436","29037","28995",
"2025-01-23 23:20","29317","28810","28995",
"2025-01-23 23:25","28828","28590","28995",
"2025-01-23 23:30","28620","28376","27995",
"2025-01-23 23:35","28341","28168","27995",
"2025-01-23 23:40","27814","27966","27995",
"2025-01-23 23:45","27419","27769","27292",
"2025-01-23 23:50","27416","27586","27292",
"2025-01-23 23:55","27211","27424","27292",
"2025-01-24 00:00","27117","27285","26823",
"2025-01-24 00:05","27301","27150","26823",
"2025-01-24 00:10","27110","27000","26823",
"2025-01-24 00:15","26847","26837","26414",
"2025-01-24 00:20","26930","26669","26414",
"2025-01-24 00:25","26650","26506","26414",
"2025-01-24 00:30","26493","26348","25993",
"2025-01-24 00:35","26356","26195","25993",
"2025-01-24 00:40","26079","26046","25993",
"2025-01-24 00:45","25631","25901","25697",
"2025-01-24 00:50","25632","25753","25697",
"2025-01-24 00:55","25314","25595","25697",
"2025-01-24 01:00","25412","25427","25306",
"2025-01-24 01:05","25307","25263","25306",
"2025-01-24 01:10","25084","25116","25306",
"2025-01-24 01:15","25023","24986","24808",
"2025-01-24 01:20","24697","24863","24808",
"2025-01-24 01:25","24452","24740","24808",
"2025-01-24 01:30","24428","24616","24604",
"2025-01-24 01:35","24515","24495","24604",
"2025-01-24 01:40","24286","24385","24604",
"2025-01-24 01:45","24298","24284","23993",
"2025-01-24 01:50","24187","24182","23993",
"2025-01-24 01:55","24143","24065","23993",
"2025-01-24 02:00","23846","23933","23704",
"2025-01-24 02:05","24030","23807","23704",
"2025-01-24 02:10","23869","23706","23704",
"2025-01-24 02:15","23696","23629","23409",
"2025-01-24 02:20","23477","23564","23409",
"2025-01-24 02:25","23337","23498","23409",
"2025-01-24 02:30","23456","23430","23209",
"2025-01-24 02:35","23577","23368","23209",
"2025-01-24 02:40","23485","23319","23209",
"2025-01-24 02:45","23475","23283","23213",
"2025-01-24 02:50","23511","23244","23213",
"2025-01-24 02:55","23357","23182","23213",
"2025-01-24 03:00","23208","23099","23205",
